experiment_id,area_under_curve,master_cpd_id
461,13.489,606586
461,14.792,606670
461,14.724,607696
461,13.881,608062
461,14.701,608999
461,14.626,609058
461,13.961,609060
461,11.628,609062
461,14.058,609063
461,11.361,609091
461,14.488,609110
461,14.367,609124
461,12.631,609332
461,11.564,609440
461,10.792,609596
461,9.2453,609639
461,14.084,609674
461,14.667,609781
461,12.68,616352
461,14.48,616353
461,13.597,616354
461,14.426,616355
461,14.015,616408
461,12.535,622911
461,14.506,622913
461,14.121,628408
461,12.108,628601
461,11.396,628603
461,10.845,628607
461,12.504,628613
461,11.349,628614
461,14.095,628620
461,14.204,628622
461,14.411,628639
461,14.117,632103
461,12.493,632104
461,13.159,632119
461,10.704,632243
461,7.693,632873
461,12.122,632907
461,13.842,634814
461,15.073,635576
461,14.68,635882
461,13.878,636425
461,13.684,636711
461,12.948,639390
461,14.987,639450
461,13.049,639531
461,12.387,639759
461,12.006,639962
461,13.032,640007
461,14.708,640011
461,12.152,640157
461,14.217,640265
461,13.416,640366
461,13.131,641721
461,14.276,648987
461,12.273,649420
461,15.679,649754
461,11.33,649862
461,14.489,651298
461,14.82,651306
461,15.209,651642
461,12.583,652975
461,15.786,654278
461,13.509,657183
461,14.75,659226
461,14.812,659371
461,16.175,659682
461,13.914,660073
461,12.875,660075
461,14.575,660078
461,14.875,660081
461,14.291,660082
461,14.562,660083
461,14.394,660084
461,15.015,660085
461,7.7181,660086
461,14.552,660087
461,14.589,660119
461,11.82,660129
461,14.781,660130
461,12.992,660131
461,11.286,660132
461,7.5913,660133
461,12.498,660134
461,14.215,660135
461,14.514,660136
461,13.191,660137
461,14.802,660145
461,14.528,660172
461,12.897,660173
461,6.9536,660174
461,7.8347,660175
461,7.7698,660176
461,7.454,660177
461,7.742,660178
461,14.354,660179
461,14.795,660180
461,14.918,660181
461,14.423,660201
461,14.452,660202
461,11.934,660206
461,14.457,660207
461,13.974,660208
461,11.362,660216
461,8.4995,660217
461,8.0498,660218
461,10.568,660219
461,8.4053,660220
461,10.6,660221
461,12.246,660222
461,13.8,660223
461,13.173,660224
461,8.471,660225
461,14.442,660227
461,14.881,660228
461,14.381,660229
461,13.897,660230
461,10.131,660238
461,14.484,660245
461,9.9701,660246
461,13.105,660247
461,7.5275,660248
461,8.7841,660249
461,15,660250
461,9.986,660251
461,13.41,660252
461,13.202,660253
461,14.726,660268
461,11.007,660269
461,14.381,660270
461,14.674,660271
461,8.8349,660280
461,7.9657,660281
461,12.717,660282
461,13.299,660283
461,13.977,660284
461,10.787,660287
461,11.518,660288
461,12.072,660301
461,14.697,660304
461,14.816,660306
461,14.729,660314
461,14.942,660317
461,8.5802,660318
461,13.984,660319
461,14.303,660321
461,13.921,660322
461,13.083,660325
461,13.383,660327
461,13.547,660331
461,14.473,660332
461,13.633,660341
461,15.38,660342
461,10.64,660346
461,14.191,660364
461,14.215,660391
461,14.976,660397
461,13.505,660409
461,8.3913,660410
461,13.432,660411
461,13.796,660413
461,13.379,660421
461,12.878,660429
461,13.998,660430
461,11.361,660432
461,13.245,660433
461,11.313,660434
461,10.66,660768
461,13.429,660774
461,11.236,660777
461,16.359,660778
461,13.4,660779
461,12.594,660796
461,11.785,660819
461,14.642,660821
461,10.812,660823
461,13.156,660840
461,9.4543,660857
461,12.306,660890
461,11.616,660935
461,14.651,660985
461,11.321,660993
461,14.253,660994
461,14.512,661032
461,14.809,661033
461,12.403,665914
461,13.728,666541
461,14.141,666716
461,11.686,666910
461,14.268,667933
461,13.724,668495
461,14.038,668723
461,14.057,676728
461,12.229,677522
461,11.726,679843
461,15.569,679844
461,13.773,686134
461,14.793,687395
461,12.854,687406
461,5.3886,687418
461,6.421,687578
461,12.312,687579
461,14.918,687661
461,14.829,687694
461,14.08,687714
461,15,687715
461,8.1397,687720
461,14.283,687721
461,11.487,687769
461,8.3749,687953
461,5.7999,687954
461,14.573,688138
461,9.898,688229
461,14.583,688516
461,14.627,688799
461,12.789,688888
461,15.13,688962
461,10.291,688975
461,14.397,705300
461,14.358,710154
462,11.504,3588
462,14.477,12877
462,13.078,17712
462,14.499,18311
462,13.53,19153
462,14.18,23151
462,11.766,23256
462,14.511,24173
462,14.985,24197
462,12.821,25036
462,14.372,25334
462,15.555,25344
462,15.341,26874
462,14.681,26914
462,12.596,26956
462,14.708,26972
462,15,26979
462,14.081,27872
462,14.46,27894
462,12.709,28172
462,14.961,28183
462,14.283,28452
462,13.096,28784
462,14.672,28801
462,14.654,29985
462,11.1,30371
462,12.006,30620
462,13.341,32372
462,14.262,32622
462,9.8173,32653
462,13.314,33166
462,7.894,36599
462,6.9829,37190
462,14.947,37479
462,14.357,39782
462,12.389,42319
462,14.399,44503
462,14.709,44511
462,15,44554
462,8.5194,44580
462,13.395,45093
462,11.591,46792
462,13.57,48589
462,14.758,50131
462,11.349,50134
462,14.612,50163
462,11.684,50715
462,14.4,50727
462,12.856,50732
462,14.642,50737
462,14.109,50747
462,15.019,50753
462,13.436,52123
462,14.812,52133
462,14.252,52430
462,13.486,52576
462,13.107,52582
462,13.255,52882
462,11.904,52926
462,13.778,52928
462,13.666,53556
462,14.806,53705
462,14.369,54200
462,5.0835,54210
462,14.635,55307
462,15.085,55512
462,12.185,56554
462,14.358,56703
462,14.381,58339
462,11.513,58455
462,13.266,58472
462,12.262,58566
462,12.465,58948
462,10.387,60218
462,10.234,60225
462,9.561,61097
462,12.281,61674
462,10.965,62111
462,13.136,62602
462,13.769,62690
462,14.115,63349
462,14.803,63578
462,12.664,96171
462,14.787,119769
462,14.822,122255
462,13.877,142931
462,14.821,153820
462,10.572,154846
462,14.734,182395
462,14.76,185987
462,11.378,199337
462,14.639,215497
462,14.591,255961
462,14.041,267119
462,14.635,272805
462,14.072,277354
462,14.036,290356
462,14.726,345041
462,14.737,345712
462,15,347775
462,14.848,347812
462,11.426,347813
462,13.199,348633
462,14.157,348990
462,7.7869,348991
462,11.471,348992
462,14.551,348997
462,13.481,349002
462,11.549,349006
462,14.639,350548
462,15.238,351043
462,14.854,362207
462,11.598,362338
462,15,362342
462,14.162,374747
462,12.717,374749
462,12.878,374750
462,14.628,374755
462,10.128,375219
462,12.685,375256
462,12.737,375264
462,13.809,375354
462,14.49,375366
462,12.875,375390
462,15.279,375395
462,14.545,375435
462,14.242,375447
462,14.985,375487
462,10.429,375492
462,13.914,375496
462,14.3,375560
462,11.495,375562
462,14.553,375564
462,15,375582
462,14.625,375594
462,14.577,375596
462,11.014,375637
462,14.603,376307
462,13.437,376693
462,14.277,377381
462,12.16,385240
462,14.217,387472
462,14.465,389297
462,14.718,402775
462,14.886,404070
462,14.669,404452
462,11.044,404566
462,14.764,410270
462,14.201,411714
462,14.721,411716
462,14.361,411717
462,12.677,411720
462,10.581,411724
462,14.604,411726
462,14.709,411727
462,14.203,411731
462,12.511,411733
462,14.797,411734
462,12.181,411737
462,14.62,411738
462,14.797,411739
462,12.739,411742
462,13.551,411770
462,12.411,411792
462,14.514,411805
462,14.188,411808
462,13.324,411809
462,14.185,411814
462,14.089,411815
462,14.143,411816
462,15.401,411820
462,14.365,411824
462,14.901,411827
462,14.792,411831
462,14.119,411832
462,9.5822,411833
462,13.923,411843
462,14.585,411856
462,13.857,411859
462,11.915,411863
462,11.678,411865
462,14.714,411867
462,2.888,411869
462,14.675,411874
462,15,415688
462,9.6568,416775
462,14.982,416777
462,15.37,416842
462,14.561,417098
462,13.153,417417
462,14.302,417451
462,13.29,417452
462,14.854,417663
462,14.155,417818
462,11.636,417979
462,13.601,417981
462,14,417982
462,12.589,417987
462,14.412,418038
462,13.239,418162
462,15.202,418163
462,14.045,418164
462,13.116,418166
462,14.221,418167
462,13.03,418170
462,14.672,418172
462,12.01,418209
462,14.086,425733
462,15.012,435086
462,14.754,436211
462,15.217,438776
462,14.722,442141
462,15.33,444779
462,14.988,447732
462,14.815,449707
462,15.348,450415
462,14.82,463198
462,12.168,464458
462,14.95,478694
462,14.492,481311
462,14.662,580922
462,14.975,594399
462,14.162,594664
462,13.874,594665
462,12.063,595102
462,14.516,596868
462,14.776,600054
462,15.569,601923
462,14.333,606033
462,15,606034
462,14.59,606035
462,12.713,606135
462,12.305,606136
462,12.364,606138
462,9.4231,606142
462,14.321,606143
462,11.488,606144
462,14.12,606246
462,10.508,606248
462,11.853,606249
462,9.9699,606254
462,10.397,606256
462,13.833,606356
462,12.763,606363
462,14.275,606470
462,11.383,606471
462,14.603,606586
462,14.929,606670
462,14.751,607696
462,14.824,608062
462,14.799,608999
462,14.325,609058
462,10.368,609060
462,13.619,609062
462,14.635,609063
462,12.859,609091
462,11.666,609110
462,14.767,609124
462,14.538,609332
462,11.503,609440
462,10.787,609596
462,9.2226,609639
462,13.703,609674
462,14.406,609781
462,11.891,616352
462,15.602,616353
462,13.685,616354
462,15.374,616355
462,14.879,616408
462,13.306,622911
462,14.583,622913
462,14.679,628408
462,14.877,628601
462,12.917,628603
462,11.256,628607
462,10.979,628613
462,11.395,628614
462,14.741,628620
462,14.165,628622
462,14.758,628639
462,14.297,632103
462,12.42,632104
462,13.511,632119
462,10.102,632243
462,10.131,632873
462,11.755,632907
462,14.96,634309
462,14.596,634814
462,14.897,635576
462,14.646,635882
462,13.881,636425
462,14.45,636711
462,12.463,639390
462,14.927,639450
462,13.883,639531
462,11.692,639759
462,14.161,639962
462,12.556,640007
462,14.497,640011
462,13.278,640157
462,13.881,640265
462,14.148,640366
462,14.101,641721
462,14.09,648987
462,10.823,649420
462,15,649754
462,14.146,649862
462,14.497,651298
462,14.669,651306
462,15.523,651642
462,12.757,652975
462,15.169,654278
462,11.362,657183
462,14.307,659226
462,14.893,659371
462,16.397,659682
462,14.373,660073
462,13.588,660075
462,13.348,660078
462,14.798,660081
462,14.864,660082
462,14.432,660083
462,14.486,660084
462,14.779,660085
462,5.8851,660086
462,14.795,660087
462,14.81,660119
462,13.604,660129
462,14.315,660130
462,14.214,660131
462,14.373,660132
462,7.4235,660133
462,13.199,660134
462,4.6396,660135
462,14.427,660136
462,13.907,660137
462,14.788,660145
462,14.717,660172
462,13.014,660173
462,6.5068,660174
462,7.9387,660175
462,8.0835,660176
462,6.745,660177
462,7.801,660178
462,14.948,660180
462,13.355,660181
462,14.928,660201
462,14.769,660202
462,12.642,660206
462,14.777,660207
462,14.471,660208
462,11.963,660216
462,8.4219,660217
462,7.9118,660218
462,10.339,660219
462,7.9581,660220
462,11.847,660221
462,13.132,660222
462,14.148,660223
462,12.198,660224
462,10.056,660225
462,14.188,660227
462,14.826,660228
462,14.016,660229
462,12.312,660230
462,10.901,660238
462,14.04,660245
462,8.4473,660246
462,13.743,660247
462,7.3772,660248
462,8.2077,660249
462,15.054,660250
462,11.395,660251
462,14.306,660252
462,13.707,660253
462,14.824,660268
462,10.077,660269
462,14.757,660270
462,15.311,660271
462,8.4431,660280
462,8.043,660281
462,13.766,660282
462,12.244,660283
462,14.482,660284
462,13.312,660287
462,12.181,660288
462,12.558,660301
462,14.684,660304
462,14.955,660306
462,14.861,660314
462,14.857,660317
462,9.6126,660318
462,12.216,660319
462,14.119,660321
462,12.152,660322
462,14.399,660325
462,12.395,660327
462,13.758,660331
462,14.137,660332
462,14.437,660341
462,14.833,660342
462,12.873,660346
462,12.974,660364
462,13.961,660391
462,13.849,660397
462,14.529,660409
462,7.644,660410
462,14.717,660411
462,13.07,660412
462,14.295,660413
462,12.665,660421
462,13.456,660429
462,14.097,660430
462,11.483,660432
462,12.105,660433
462,13.605,660434
462,10.175,660768
462,13.232,660774
462,12.245,660777
462,14.724,660778
462,13.183,660779
462,11.545,660796
462,12.601,660819
462,14.666,660821
462,11.807,660823
462,13.048,660840
462,9.5753,660857
462,14.334,660890
462,13.364,660935
462,14.469,660985
462,14.408,660993
462,14.334,660994
462,14.97,661032
462,15.178,661033
462,12.106,665914
462,12.955,666716
462,10.846,666910
462,14.859,667933
462,14.221,668495
462,14.064,668723
462,14.68,676728
462,13.199,677522
462,12.966,679843
462,15.171,679844
462,14.696,686134
462,9.041,687395
462,12.956,687406
462,4.3492,687418
462,11.752,687577
462,5.1609,687578
462,12.695,687579
462,15.433,687661
