expt_id,master_ccl_id,experiment_date,cells_per_well
1,130,20120501,500
2,569,20120501,500
3,682,20120501,500
4,9,20120504,500
5,61,20120504,500
6,62,20120504,500
7,108,20120504,500
8,111,20120504,500
9,115,20120504,500
10,119,20120504,500
11,455,20120504,500
12,855,20120504,500
13,991,20120504,500
14,8,20120507,500
15,46,20120507,500
16,349,20120507,500
17,1095,20120507,500
18,1030,20120507,500
19,1110,20120507,500
20,1117,20120507,500
21,1121,20120507,500
22,1127,20120507,500
23,1216,20120507,500
24,41,20120514,500
25,57,20120514,500
26,139,20120514,500
27,162,20120514,500
28,232,20120514,500
29,342,20120514,500
30,506,20120514,500
31,976,20120514,500
32,1090,20120514,500
33,1274,20120514,500
34,4,20120518,500
35,20,20120518,500
36,65,20120518,500
37,286,20120518,500
38,501,20120518,500
39,542,20120518,500
40,903,20120518,500
41,1080,20120518,500
42,1085,20120518,500
43,1123,20120518,500
44,30,20120521,500
45,35,20120521,500
46,155476,20120521,500
47,1092,20120521,500
48,1145,20120521,500
49,1082,20120525,500
50,166,20120528,500
51,206,20120528,500
52,293,20120528,500
53,304,20120528,500
54,568,20120528,500
55,634,20120528,500
56,155388,20120528,500
57,155425,20120528,500
58,155491,20120528,500
59,127997,20120528,500
60,212,20120604,500
61,242,20120604,500
62,509,20120604,500
63,917,20120604,500
64,525,20120604,500
65,550,20120604,500
66,601,20120604,500
67,678,20120604,500
68,692,20120604,500
69,127985,20120604,500
70,155285,20120604,500
71,14,20120608,500
72,101,20120608,500
73,154,20120608,500
74,285,20120608,500
75,328,20120608,500
76,577,20120608,500
77,631,20120608,500
78,632,20120608,500
79,898,20120608,500
80,899,20120608,500
81,1034,20120608,500
82,1162,20120608,500
83,1250,20120608,500
84,60,20120611,500
84,60,20120612,500
85,138,20120611,500
85,138,20120612,500
86,339,20120611,500
86,339,20120612,500
87,445,20120611,500
87,445,20120612,500
88,575,20120611,500
88,575,20120612,500
89,155395,20120611,500
89,155395,20120612,500
90,155352,20120611,500
90,155352,20120612,500
91,851,20120611,500
91,851,20120612,500
92,916,20120611,500
92,916,20120612,500
93,918,20120611,500
93,918,20120612,500
94,941,20120611,500
94,941,20120612,500
95,994,20120611,500
95,994,20120612,500
96,1026,20120611,500
96,1026,20120612,500
97,1081,20120611,500
97,1081,20120612,500
98,1116,20120611,500
98,1116,20120612,500
99,1139,20120611,500
99,1139,20120612,500
100,156,20120615,500
101,222,20120615,500
102,239,20120615,500
103,532,20120615,500
104,539,20120615,500
105,599,20120615,500
106,683,20120615,500
107,155518,20120615,500
108,155340,20120615,500
109,902,20120615,500
110,915,20120615,500
111,954,20120615,500
112,981,20120615,500
113,1078,20120615,500
114,1079,20120615,500
115,1154,20120615,500
116,1093,20120615,500
117,21,20120618,500
118,123,20120618,500
119,202,20120618,500
120,269,20120618,500
121,296,20120618,500
122,332,20120618,500
123,155295,20120618,500
124,969,20120618,500
125,1005,20120618,500
126,1015,20120618,500
127,1084,20120618,500
128,1124,20120618,500
129,1091,20120618,500
130,1183,20120618,500
131,125,20120622,500
132,208,20120622,500
133,353,20120622,500
134,365,20120622,500
135,442,20120622,500
136,646,20120622,500
137,1083,20120622,500
138,1230,20120622,500
139,7,20120625,500
140,16,20120625,500
141,164,20120625,500
142,223,20120625,500
143,247,20120625,500
144,309,20120625,500
145,314,20120625,500
146,385,20120625,500
147,531,20120625,500
148,911,20120625,500
149,511,20120625,500
150,1131,20120625,500
151,1226,20120625,500
152,3,20120629,500
153,112,20120629,500
154,220,20120629,500
155,307,20120629,500
156,310,20120629,500
157,319,20120629,500
158,527,20120629,500
159,567,20120629,500
160,576,20120629,500
161,580,20120629,500
162,718,20120629,500
163,878,20120629,500
164,1212,20120629,500
165,44,20120702,500
166,343,20120702,500
167,350,20120702,500
168,357,20120702,500
169,376,20120702,500
170,1145,20120702,500
171,451,20120702,500
172,479,20120702,500
173,492,20120702,500
174,582,20120702,500
175,630,20120702,500
176,666,20120702,500
177,677,20120702,500
178,703,20120702,500
179,128001,20120702,500
180,316,20120706,500
181,340,20120706,500
182,354,20120706,500
183,355,20120706,500
184,358,20120706,500
185,362,20120706,500
186,498,20120706,500
187,508,20120706,500
188,510,20120706,500
189,524,20120706,500
190,526,20120706,500
191,538,20120706,500
192,595,20120706,500
193,155480,20120706,500
194,1120,20120706,500
195,155395,20120706,500
196,306,20120709,500
197,534,20120713,500
198,551,20120713,500
199,552,20120713,500
200,155455,20120713,500
201,155294,20120713,500
202,290,20120713,500
203,1040,20120713,500
204,313,20120720,500
205,347,20120720,500
206,458,20120720,500
207,710,20120720,500
208,155327,20120720,500
209,128006,20120720,500
210,128013,20120720,500
211,134841,20120720,500
212,942,20120720,500
213,1018,20120720,500
214,1088,20120720,500
215,1097,20120720,500
216,1109,20120720,500
217,64,20120723,500
218,113,20120723,500
219,117,20120723,500
220,300,20120723,500
221,447,20120723,500
222,604,20120723,500
223,606,20120723,500
224,155445,20120723,500
224,155445,20120724,500
225,155511,20120723,500
225,155511,20120724,500
226,967,20120723,500
226,967,20120724,500
227,1087,20120723,500
228,1106,20120723,500
228,1106,20120724,500
229,1107,20120723,500
229,1107,20120724,500
230,1111,20120723,500
231,1118,20120723,500
231,1118,20120724,500
232,1129,20120723,500
232,1129,20120724,500
233,1185,20120723,500
233,1185,20120724,500
234,1191,20120723,500
234,1191,20120724,500
234,1191,20120727,500
235,1197,20120723,500
235,1197,20120724,500
236,1278,20120723,500
236,1278,20120724,500
237,1279,20120723,500
237,1279,20120724,500
238,1280,20120723,500
238,1280,20120724,500
239,149,20120727,500
240,557,20120727,500
241,559,20120727,500
242,686,20120727,500
243,127989,20120727,500
244,155505,20120727,500
245,155520,20120727,500
246,155519,20120727,500
247,155297,20120727,500
248,931,20120727,500
249,995,20120727,500
250,1032,20120727,500
251,1050,20120727,500
252,1122,20120727,500
253,1138,20120727,500
254,1153,20120727,500
255,1194,20120727,500
256,1196,20120727,500
257,231,20120730,500
258,298,20120730,500
259,386,20120730,500
260,548,20120730,500
261,546,20120730,500
262,553,20120730,500
263,555,20120730,500
264,579,20120730,500
265,701,20120730,500
266,155434,20120730,500
267,128000,20120730,500
268,964,20120730,500
269,1103,20120730,500
270,1128,20120730,500
271,1150,20120730,500
272,1152,20120730,500
273,1156,20120730,500
274,1178,20120730,500
275,1281,20120730,500
276,143,20120803,500
277,117,20120803,500
278,440,20120803,500
279,594,20120803,500
280,621,20120803,500
281,694,20120803,500
282,698,20120803,500
283,155371,20120803,500
284,875,20120803,500
285,958,20120803,500
286,1213,20120803,500
287,261,20120806,500
287,261,20120807,500
288,326,20120806,500
289,503,20120806,500
289,503,20120807,500
290,676,20120806,500
290,676,20120807,500
291,702,20120806,500
291,702,20120807,500
292,706,20120806,500
292,706,20120807,500
293,128005,20120806,500
293,128005,20120807,500
294,919,20120806,500
294,919,20120807,500
295,977,20120806,500
295,977,20120807,500
296,1140,20120806,500
296,1140,20120807,500
297,919,20120806,500
297,919,20120807,500
298,1144,20120806,500
298,1144,20120807,500
299,1157,20120806,500
299,1157,20120807,500
300,29,20120810,500
300,29,20120811,500
301,147,20120810,500
301,147,20120811,500
302,517,20120810,500
302,517,20120811,500
303,585,20120810,500
303,585,20120811,500
304,600,20120810,500
304,600,20120811,500
305,695,20120810,500
305,695,20120811,500
306,155401,20120810,500
306,155401,20120811,500
307,155424,20120810,500
307,155424,20120811,500
308,127983,20120810,500
308,127983,20120811,500
309,127988,20120810,500
309,127988,20120811,500
310,893,20120810,500
310,893,20120811,500
311,514,20120810,500
311,514,20120811,500
312,1158,20120813,500
312,1158,20120814,500
313,100,20120813,500
313,100,20120814,500
314,120,20120813,500
314,120,20120814,500
315,246,20120813,500
315,246,20120814,500
316,473,20120813,500
316,473,20120814,500
317,973,20120813,500
317,973,20120814,500
318,536,20120813,500
318,536,20120814,500
319,545,20120813,500
319,545,20120814,500
320,592,20120813,500
320,592,20120814,500
321,644,20120813,500
321,644,20120814,500
322,675,20120813,500
322,675,20120814,500
323,685,20120813,500
323,685,20120814,500
324,979,20120813,500
324,979,20120814,500
325,1008,20120813,500
325,1008,20120814,500
326,1074,20120813,500
326,1074,20120814,500
327,1136,20120813,500
327,1136,20120814,500
328,47,20120813,500
328,47,20120814,500
329,49,20120817,500
330,356,20120817,500
331,643,20120817,500
332,693,20120817,500
333,1141,20120817,500
334,1143,20120817,500
335,190,20120817,500
336,259,20120817,500
337,155481,20120817,500
338,155488,20120817,500
339,155324,20120817,500
340,1101,20120817,500
341,205,20120820,500
341,205,20120821,500
342,528,20120820,500
343,650,20120820,500
344,662,20120820,500
344,662,20120821,500
345,667,20120820,500
346,720,20120820,500
347,155402,20120820,500
347,155402,20120821,500
348,155450,20120820,500
349,35,20120820,500
350,127990,20120820,500
351,128003,20120820,500
352,128001,20120820,500
353,908,20120820,500
354,910,20120820,500
355,473,20120820,500
356,947,20120820,500
356,947,20120821,500
357,975,20120820,500
357,975,20120821,500
358,992,20120820,500
358,992,20120821,500
359,997,20120820,500
359,997,20120821,500
360,1039,20120820,500
360,1039,20120821,500
361,1149,20120820,500
361,1149,20120821,500
362,132,20120824,500
363,155,20120824,500
364,272,20120824,500
365,515,20120824,500
366,571,20120824,500
367,697,20120824,500
368,721,20120824,500
369,155500,20120824,500
370,155510,20120824,500
371,127999,20120824,500
372,858,20120824,500
373,884,20120824,500
374,955,20120824,500
375,965,20120824,500
376,234,20120827,500
377,268,20120827,500
378,351,20120827,500
379,443,20120827,500
380,459,20120827,500
381,928,20120827,500
382,35,20120827,500
383,1125,20120827,500
384,1134,20120827,500
385,1135,20120827,500
386,1151,20120827,500
387,1201,20120827,500
388,1217,20120827,500
389,1231,20120827,500
390,1244,20120827,500
391,627,20120831,500
392,155326,20120831,500
393,1043,20120831,500
394,1046,20120831,500
395,1047,20120831,500
396,1102,20120831,500
397,1115,20120831,500
398,124,20120903,500
399,126,20120903,500
400,230,20120903,500
401,367,20120903,500
402,449,20120903,500
403,452,20120903,500
404,463,20120903,500
405,478,20120903,500
406,591,20120903,500
407,623,20120903,500
408,127984,20120903,500
409,912,20120903,500
410,1038,20120903,500
411,1045,20120903,500
412,1166,20120903,500
413,1253,20120903,500
414,295,20120910,500
415,590,20120910,500
416,622,20120910,500
417,655,20120910,500
418,661,20120910,500
419,688,20120910,500
420,155390,20120910,500
421,30,20120910,500
422,946,20120910,500
423,978,20120910,500
424,983,20120910,500
425,999,20120910,500
426,1059,20120910,500
427,1184,20120910,500
428,1256,20120910,500
429,1270,20120910,500
430,263,20120914,500
431,364,20120914,500
